ID,SMILES
L97,C=1C=CC(=CC1)P(C=2C=CC=CC2)C=3C=CC=CC3C45=[CH]6[CH]7=[CH]8[C-]4(C(P(C9CC%10CCC9C%10)C%11CC%12CCC%11C%12)C)[Fe+2]%13%14%15%167685[CH]=%17[CH]%16=[CH]%15[CH-]%14[CH]%17%13
L98,P([C@H]1[C@H]([P@@](C2=CC=CC=C2)C3=CC=CC=C3)CN(CC4=CC=CC=C4)C1)(C5=CC=CC=C5)C6=CC=CC=C6
L99,P([C-]12[Fe+2]3456789(C1([C@H](C)N)=[CH]3C4(=C52[H])[H])[CH-]%10[CH]6=[CH]7[CH]8=[CH]9%10)(C%11=CC=CC=C%11)C%12=CC=CC=C%12
L100,[C@@H](P(C(C)(C)C)C(C)(C)C)(C)[C-]12[Fe+2]3456789(C1(=C3(C4(=[CH]52)[H])[H])C%10=C(P(C%11=CC=CC=C%11)C%12=CC=CC=C%12)C=CC=C%10)[CH-]%13[CH]6=[CH]7[CH]8=[CH]9%13
L101,[C@@H](P(C(C)(C)C)C(C)(C)C)(C)[C-]12[Fe+2]3456789(C1(=C3([CH]4=C52[H])[H])C%10=C(P(C(C)(C)C)C(C)(C)C)C=CC=C%10)[CH-]%11[CH]6=[CH]7[CH]8=[CH]9%11
L102,C(C)[C@@H]1[P@@]([C-]23[Fe+2]456789%10([C-]%11([CH]4=[CH]5[CH]6=[CH]7%11)[P@@]%12[C@@H](CC)C[C@@H]%12CC)[CH]2=[CH]8[CH]9=[CH]%103)[C@@H](CC)C1
L103,[C@@H](P(C(C)(C)C)C(C)(C)C)(C)[C-]12[Fe+2]3456789(C1(=C3([CH]4=C52[H])[H])C%10=C(P(C%11CCCCC%11)C%12CCCCC%12)C=CC=C%10)[CH-]%13[CH]6=[CH]7[CH]8=[CH]9%13
L104,O1C=2C=CC=3C=CC=CC3C2C4=C(OP1N(C)C)C=CC=5C=CC=CC54
L105,P([C-]12[Fe+2]3456789(C1([C@H](N(C)C)C)=[CH]3C4(=C52[H])[H])[CH-]%10[CH]6=[CH]7[CH]8=[CH]9%10)(C%11=CC=CC=C%11)C%12=CC=CC=C%12
L106,N1=C(OC)C=C(C(=C1OC)C2=C(N=C(OC)C=C2P(C=3C=C(C=C(C3)C)C)C=4C=C(C=C(C4)C)C)OC)P(C=5C=C(C=C(C5)C)C)C=6C=C(C=C(C6)C)C
L107,P(C[C@@H]1CCCN1)(C2=CC=CC=C2)C3=CC=CC=C3
L108,P([C@@H](CP(C1=CC=CC=C1)C2=CC=CC=C2)C)(C3=CC=CC=C3)C4=CC=CC=C4
L109,[C@@](C)(C)(C)[P@@]1C2=C(C=CC=C2OC1)C3=C(OC)C=CC=C3
L110,[C@@](C)(C)(C)[P@@]1C=2C(O[C@H]1P(C(C)(C)C)C(C)(C)C)=CC=CC2OC
L111,[P@](C(C)(C)C)(C)C1=C([P@@](C(C)(C)C)C)C=CC=C1
L112,P([C-]12[Fe+2]3456789(C1([C@H](P(C(C)(C)C)C(C)(C)C)C)=[CH]3C4(=C52[H])[H])[CH-]%10[CH]6=[CH]7[CH]8=[CH]9%10)(C=%11C%12=C(C=CC%11)C=CC=C%12)C=%13C%14=C(C=CC%13)C=CC=C%14
L113,[P@@](CC[P@](C=1C2=C(C=CC1)C=CC=C2)C3=CC=CC=C3)(C=4C5=C(C=CC4)C=CC=C5)C6=CC=CC=C6
L114,P([C-]12[Fe+2]3456789(C1([C@@H](N(C)C)C)=[CH]3C4(=C52[H])[H])[CH-]%10[CH]6=[CH]7[CH]8=[CH]9%10)(C%11=CC=CC=C%11)C%12=CC=CC=C%12
